reviewerID,AvgRating,AvgReviewPerDay,usefulCount,firstCount,reviewContentLength,PerCapWords,hasURL,similarity,filtered
0,3.784722222,1.484536082,5,0,138,0,0,0.159987898,0
0,3.784722222,1.484536082,2,76,135,0.740740741,0,0.136719957,0
0,3.784722222,1.484536082,3,46,142,0,0,0.113978018,0
0,3.784722222,1.484536082,5,34,149,0,0,0.102230833,0
0,3.784722222,1.484536082,2,34,45,0,0,0.120959804,0
0,3.784722222,1.484536082,0,76,143,1.398601399,0,0.167887636,0
0,3.784722222,1.484536082,0,1,15,6.666666667,0,0.116816447,0
0,3.784722222,1.484536082,0,34,56,0,0,0.099013374,1
0,3.784722222,1.484536082,3,46,67,0,0,0.150559354,0
0,3.784722222,1.484536082,1,83,131,0,0,0.23132737,0
0,3.784722222,1.484536082,0,76,71,0,0,0.125398939,0
0,3.784722222,1.484536082,2,46,140,0,0,0.114082251,1
0,3.784722222,1.484536082,0,76,113,0,0,0.104716814,0
0,3.784722222,1.484536082,1,46,99,1.01010101,0,0.121525658,0
0,3.784722222,1.484536082,1,83,144,0,0,0.144097147,0
0,3.784722222,1.484536082,2,34,147,0,0,0.117123143,0
0,3.784722222,1.484536082,0,34,62,0,0,0.154312869,0
0,3.784722222,1.484536082,0,34,19,0,0,0.120175406,0
0,3.784722222,1.484536082,0,76,143,0.699300699,0,0.120485843,0
0,3.784722222,1.484536082,0,34,56,0,0,0.138161306,0
0,3.784722222,1.484536082,0,1,64,0,0,0.145101525,0
0,3.784722222,1.484536082,0,83,142,0.704225352,0,0.121304786,0
0,3.784722222,1.484536082,2,83,148,2.027027027,0,0.158554982,0
0,3.784722222,1.484536082,0,34,65,0,0,0.156130666,0
0,3.784722222,1.484536082,0,34,47,2.127659574,0,0.143589687,0
0,3.784722222,1.484536082,2,46,96,1.041666667,0,0.096591117,0
0,3.784722222,1.484536082,0,0,143,0.699300699,0,0.114313285,0
0,3.784722222,1.484536082,2,83,71,1.408450704,0,0.127587902,0
0,3.784722222,1.484536082,1,83,89,2.247191011,0,0.102048422,0
0,3.784722222,1.484536082,0,83,62,0,0,0.142221729,0
0,3.784722222,1.484536082,1,34,73,1.369863014,0,0.130170633,0
0,3.784722222,1.484536082,0,46,104,0,0,0.174642623,1
0,3.784722222,1.484536082,3,83,157,0.636942675,0,0.13752915,0
0,3.784722222,1.484536082,4,46,104,0.961538462,0,0.365151238,0
0,3.784722222,1.484536082,0,83,17,0,0,0.144897854,0
0,3.784722222,1.484536082,1,34,84,0,0,0.133074421,0
0,3.784722222,1.484536082,1,83,79,0,0,0.191446438,0
0,3.784722222,1.484536082,0,4,140,0,0,0.191020801,1
0,3.784722222,1.484536082,0,34,15,0,0,0.164369698,0
0,3.784722222,1.484536082,1,83,93,0,0,0.208725525,1
0,3.784722222,1.484536082,1,34,18,0,0,0.159987898,0
0,3.784722222,1.484536082,4,34,84,0,0,0.120486522,0
0,3.784722222,1.484536082,0,0,123,0,0,0.133994428,1
0,3.784722222,1.484536082,2,0,89,1.123595506,0,0.106538335,1
0,3.784722222,1.484536082,0,83,34,0,0,0.127884734,0
0,3.784722222,1.484536082,1,83,58,0,0,0.316603505,0
0,3.784722222,1.484536082,0,83,80,1.25,0,0.093004317,0
0,3.784722222,1.484536082,0,0,106,0.943396226,0,0.165583532,0
0,3.784722222,1.484536082,0,83,130,0.769230769,0,0.129031399,1
0,3.784722222,1.484536082,0,76,145,1.379310345,0,0.086221678,0
0,3.784722222,1.484536082,0,76,79,2.53164557,0,0.136551762,0
0,3.784722222,1.484536082,0,83,57,1.754385965,0,0.103910595,0
0,3.784722222,1.484536082,1,83,98,0,0,0.112710997,1
0,3.784722222,1.484536082,1,46,67,0,0,0.11479749,0
