reviewerID,AvgRating,AvgReviewPerDay,usefulCount,firstCount,reviewContentLength,PerCapWords,hasURL,similarity,filtered
0,3.768292683,1.223880597,5,0,138,0,0,0.158887968,0
0,3.768292683,1.223880597,2,76,135,0.740740741,0,0.130394736,0
0,3.768292683,1.223880597,3,46,142,0,0,0.103165159,0
0,3.768292683,1.223880597,5,34,149,0,0,0.084840109,0
0,3.768292683,1.223880597,2,34,45,0,0,0.063252366,0
0,3.768292683,1.223880597,0,76,143,1.398601399,0,0.108632625,0
0,3.768292683,1.223880597,0,1,15,6.666666667,0,0.049483394,0
0,3.768292683,1.223880597,0,34,56,0,0,0.082257816,1
0,3.768292683,1.223880597,3,46,67,0,0,0.143562545,0
0,3.768292683,1.223880597,1,83,131,0,0,0.100568552,0
0,3.768292683,1.223880597,0,76,71,0,0,0.12710167,0
0,3.768292683,1.223880597,2,46,140,0,0,0.04080674,1
0,3.768292683,1.223880597,0,76,113,0,0,0.110755007,0
0,3.768292683,1.223880597,1,46,99,1.01010101,0,0.098809612,0
0,3.768292683,1.223880597,1,83,144,0,0,0.144511601,0
0,3.768292683,1.223880597,2,34,147,0,0,0.103165159,0
0,3.768292683,1.223880597,0,34,62,0,0,0.124698879,0
0,3.768292683,1.223880597,0,34,19,0,0,0.080155358,0
0,3.768292683,1.223880597,0,76,143,0.699300699,0,0.122773864,0
0,3.768292683,1.223880597,0,34,56,0,0,0.115626006,0
0,3.768292683,1.223880597,0,1,64,0,0,0.049781904,0
0,3.768292683,1.223880597,0,83,142,0.704225352,0,0.081719854,0
0,3.768292683,1.223880597,2,83,148,2.027027027,0,0.159835786,0
0,3.768292683,1.223880597,0,34,65,0,0,0.115626006,0
0,3.768292683,1.223880597,0,34,47,2.127659574,0,0.143220965,0
0,3.768292683,1.223880597,2,46,96,1.041666667,0,0.075936578,0
0,3.768292683,1.223880597,0,0,143,0.699300699,0,0.094324381,0
0,3.768292683,1.223880597,2,83,71,1.408450704,0,0.112930352,0
0,3.768292683,1.223880597,1,83,89,2.247191011,0,0.092138775,0
0,3.768292683,1.223880597,0,83,62,0,0,0.142735345,0
0,3.768292683,1.223880597,1,34,73,1.369863014,0,0.132057533,0
0,3.768292683,1.223880597,0,46,104,0,0,0.177281178,1
0,3.768292683,1.223880597,3,83,157,0.636942675,0,0.124068603,0
0,3.768292683,1.223880597,4,46,104,0.961538462,0,0.143562545,0
0,3.768292683,1.223880597,0,83,17,0,0,0.084986794,0
0,3.768292683,1.223880597,1,34,84,0,0,0.080883856,0
0,3.768292683,1.223880597,1,83,79,0,0,0.098858525,0
0,3.768292683,1.223880597,0,4,140,0,0,0.094858483,1
0,3.768292683,1.223880597,0,34,15,0,0,0.132057533,0
0,3.768292683,1.223880597,1,83,93,0,0,0.135971095,1
0,3.768292683,1.223880597,1,34,18,0,0,0.158887968,0
0,3.768292683,1.223880597,4,34,84,0,0,0.101054425,0
0,3.768292683,1.223880597,0,0,123,0,0,0.12710167,1
0,3.768292683,1.223880597,2,0,89,1.123595506,0,0.0870336,1
0,3.768292683,1.223880597,0,83,34,0,0,0.057312963,0
0,3.768292683,1.223880597,1,83,58,0,0,0.117513199,0
0,3.768292683,1.223880597,0,83,80,1.25,0,0.077450917,0
0,3.768292683,1.223880597,0,0,106,0.943396226,0,0.089449757,0
0,3.768292683,1.223880597,0,83,130,0.769230769,0,0.126557958,1
0,3.768292683,1.223880597,0,76,145,1.379310345,0,0.079217161,0
0,3.768292683,1.223880597,0,76,79,2.53164557,0,0.064523148,0
0,3.768292683,1.223880597,0,83,57,1.754385965,0,0.099119652,0
0,3.768292683,1.223880597,1,83,98,0,0,0.112930352,1
0,3.768292683,1.223880597,1,46,67,0,0,0.073075318,0
0,3.768292683,1.223880597,5,46,148,0,0,0.143220965,0
0,3.768292683,1.223880597,0,34,42,0,0,0.144511601,0
0,3.768292683,1.223880597,4,46,147,0.680272109,0,0.094324381,1
0,3.768292683,1.223880597,10,83,38,0,1,0.080883856,0
0,3.768292683,1.223880597,1,0,28,3.571428571,0,0.098268399,1
0,3.768292683,1.223880597,2,83,101,0,0,0.126557958,1
0,3.768292683,1.223880597,0,34,64,0,0,0.134817071,1
0,3.768292683,1.223880597,0,4,141,0.709219858,0,0.120443056,1
0,3.768292683,1.223880597,1,83,61,0,0,0.099156618,1
0,3.768292683,1.223880597,5,76,147,0,0,0.126194453,1
0,3.768292683,1.223880597,1,83,55,0,0,0.130394736,1
0,3.768292683,1.223880597,0,1,1,0,0,0,1
0,3.768292683,1.223880597,2,34,32,0,0,0.068545053,1
0,3.768292683,1.223880597,1,46,103,0,0,0.126194453,1
0,3.768292683,1.223880597,1,0,111,0.900900901,0,0.061098091,1
0,3.768292683,1.223880597,1,34,71,0,0,0.087813202,1
0,3.768292683,1.223880597,4,76,147,0.680272109,0,0.073912022,1
0,3.768292683,1.223880597,3,83,114,0,0,0.084331618,1
0,3.768292683,1.223880597,0,76,146,0.684931507,0,0.097942537,1
0,3.768292683,1.223880597,0,34,46,0,0,0.098168713,1
0,3.768292683,1.223880597,4,83,156,1.282051282,0,0.135971095,1
0,3.768292683,1.223880597,0,1,62,1.612903226,0,0.117513199,1
0,3.768292683,1.223880597,1,46,151,0,0,0.171894679,1
0,3.768292683,1.223880597,0,4,136,0,0,0.171894679,1
0,3.768292683,1.223880597,1,83,36,0,0,0.040617728,1
0,3.768292683,1.223880597,0,0,20,0,0,0.177281178,1
0,3.768292683,1.223880597,0,0,34,0,0,0.089574843,1
0,3.768292683,1.223880597,1,46,151,0,0,0.137998227,1
1,3.921052632,1.117647059,2,268,21,0,0,0.075028128,0
1,3.921052632,1.117647059,2,268,141,0.709219858,0,0.15796907,0
1,3.921052632,1.117647059,3,268,99,0,0,0.114779261,1
1,3.921052632,1.117647059,5,268,148,0,0,0.047136499,0
1,3.921052632,1.117647059,5,268,153,0.653594771,0,0.155269385,1
1,3.921052632,1.117647059,11,268,142,0,0,0.106412634,0
1,3.921052632,1.117647059,19,268,121,0,0,0.071012293,0
1,3.921052632,1.117647059,3,268,43,0,0,0.077165157,0
1,3.921052632,1.117647059,1,268,39,0,0,0.042207758,0
1,3.921052632,1.117647059,1,268,77,0,0,0.070626038,0
1,3.921052632,1.117647059,1,268,127,0,0,0.141791517,1
1,3.921052632,1.117647059,2,268,153,0,0,0.099331387,0
1,3.921052632,1.117647059,3,268,95,0,0,0.067344803,0
1,3.921052632,1.117647059,2,268,110,0,0,0.135981426,0
1,3.921052632,1.117647059,4,268,156,0,0,0.069587918,0
1,3.921052632,1.117647059,9,268,99,0,0,0.155269385,0
1,3.921052632,1.117647059,3,268,150,0,0,0.135326851,0
1,3.921052632,1.117647059,1,268,147,0,0,0.082802496,0
1,3.921052632,1.117647059,2,268,102,0,0,0.167314662,0
1,3.921052632,1.117647059,2,268,74,0,0,0.151463972,0
1,3.921052632,1.117647059,2,268,132,0.757575758,0,0.069089874,0
1,3.921052632,1.117647059,2,268,147,0,0,0.069903083,0
1,3.921052632,1.117647059,3,268,120,0,0,0.152434855,0
1,3.921052632,1.117647059,6,268,153,0,0,0.067044963,0
1,3.921052632,1.117647059,1,268,122,0,0,0.124927206,0
1,3.921052632,1.117647059,2,268,155,0,0,0.151463972,0
1,3.921052632,1.117647059,0,268,82,1.219512195,0,0.152434855,0
1,3.921052632,1.117647059,2,268,71,1.408450704,0,0.106412634,0
1,3.921052632,1.117647059,3,268,149,0.67114094,0,0.079973384,0
1,3.921052632,1.117647059,3,268,148,0,0,0.104336341,0
1,3.921052632,1.117647059,3,268,71,0,0,0.102651523,1
1,3.921052632,1.117647059,3,268,147,0,0,0.135981426,1
1,3.921052632,1.117647059,4,268,130,0,0,0.162851072,1
1,3.921052632,1.117647059,3,268,145,0,0,0.099331387,1
1,3.921052632,1.117647059,3,268,144,0.694444444,0,0.167314662,1
1,3.921052632,1.117647059,2,268,148,0,0,0.071012293,1
1,3.921052632,1.117647059,7,268,99,0,0,0.115337958,1
1,3.921052632,1.117647059,3,268,131,0,0,0.15796907,1
2,3.55952381,1.024390244,0,834,102,3.921568627,0,0.181115492,0
2,3.55952381,1.024390244,1,834,67,1.492537313,0,0.225932577,0
2,3.55952381,1.024390244,8,834,139,2.877697842,1,0.072669987,0
2,3.55952381,1.024390244,1,834,66,1.515151515,0,0.190185861,0
2,3.55952381,1.024390244,2,834,33,12.12121212,0,0.531587359,0
2,3.55952381,1.024390244,1,834,62,0,0,0.190136605,0
2,3.55952381,1.024390244,0,834,74,0,0,0.226476801,0
2,3.55952381,1.024390244,1,834,77,0,0,0.112084719,0
2,3.55952381,1.024390244,0,834,60,0,0,0.070537404,0
2,3.55952381,1.024390244,1,834,135,2.222222222,0,0.172452815,0
2,3.55952381,1.024390244,4,834,150,2,0,0.081800357,0
2,3.55952381,1.024390244,1,834,41,0,0,0.081976634,0
2,3.55952381,1.024390244,0,834,150,1.333333333,0,0.127458017,0
2,3.55952381,1.024390244,7,834,54,0,0,0.067269003,0
2,3.55952381,1.024390244,7,834,145,6.206896552,0,0.127384622,0
2,3.55952381,1.024390244,2,834,93,0,0,0.177021125,0
2,3.55952381,1.024390244,7,834,40,2.5,0,0.125505944,0
2,3.55952381,1.024390244,4,834,107,0.934579439,0,0.184884455,0
2,3.55952381,1.024390244,2,834,101,0,0,0.199058435,0
2,3.55952381,1.024390244,5,834,72,0,0,0.17559201,0
2,3.55952381,1.024390244,2,834,62,0,0,0.111819098,0
2,3.55952381,1.024390244,2,834,106,0,0,0.084704006,0
2,3.55952381,1.024390244,1,834,31,0,0,0.143326846,0
2,3.55952381,1.024390244,2,834,155,0.64516129,0,0.099283893,0
2,3.55952381,1.024390244,0,834,72,2.777777778,0,0.138285056,0
2,3.55952381,1.024390244,2,834,146,1.369863014,0,0.080819358,0
2,3.55952381,1.024390244,1,834,77,0,0,0.152795633,0
2,3.55952381,1.024390244,2,834,64,0,0,0.063195752,0
2,3.55952381,1.024390244,3,834,46,2.173913043,0,0.114029274,0
2,3.55952381,1.024390244,5,834,65,0,0,0.055836505,0
